TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-06-06 11:05:55,1780743955483,dealykenya.vercel.app/api/categories,POST,path=categories,500,vxnsh-1780743954705-9f51c97950a5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya-4nu1ah4ng-moses-projects-07e7e7e9.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,,,,,"Error: Cannot find module @rollup/rollup-linux-x64-gnu. npm has a bug related to optional dependencies (https://github.com/npm/cli/issues/4828). Please try `npm i` again after removing both package-lock.json and node_modules directory.
    at requireWithFriendlyError (/var/task/node_modules/rollup/dist/native.js:115:9)
    at Object.<anonymous> (/var/task/node_modules/rollup/dist/native.js:124:76)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1451)
    at O.l._compile (/opt/rust/bytecode.js:2:3854)
    at Object..js (node:internal/modules/cjs/loader:1943:10)
    at Module.load (node:internal/modules/cjs/loader:1533:32)
    at Module.<anonymous> (node:internal/modules/cjs/loader:1335:12)
    at /opt/rust/nodejs.js:2:13533
    at Module.Un (/opt/rust/nodejs.js:2:13911)
    at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503) {
  [cause]: Error: Cannot find module '@rollup/rollup-linux-x64-gnu'
  Require stack:
  - /var/task/node_modules/rollup/dist/native.js
      at Module._resolveFilename (node:internal/modules/cjs/loader:1456:15)
      at defaultResolveImpl (node:internal/modules/cjs/loader:1066:19)
      at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1071:22)
      at Module.<anonymous> (node:internal/modules/cjs/loader:1242:25)
      at /opt/rust/nodejs.js:2:13533
      at Module.Un (/opt/rust/nodejs.js:2:13911)
      at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503)
      at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)
      at Module.require (node:internal/modules/cjs/loader:1556:12)
      at s (/opt/rust/bytecode.js:2:1110) {
    code: 'MODULE_NOT_FOUND',
    requireStack: [ '/var/task/node_modules/rollup/dist/native.js' ]
  }
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,,,,,
2026-06-06 11:05:54,1780743954705,dealykenya.vercel.app/api/categories,POST,path=categories,500,vxnsh-1780743954705-9f51c97950a5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya-4nu1ah4ng-moses-projects-07e7e7e9.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,642,iad1,-1,2048,,prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,01KTE9RRCBHBDK9GVN16ER7M0S,,-1,,
2026-06-06 11:05:55,1780743955456,dealykenya.vercel.app/api/categories,POST,path=categories,500,6r5xj-1780743954704-4b8ab2c31ac3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya-4nu1ah4ng-moses-projects-07e7e7e9.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,,,,,"Error: Cannot find module @rollup/rollup-linux-x64-gnu. npm has a bug related to optional dependencies (https://github.com/npm/cli/issues/4828). Please try `npm i` again after removing both package-lock.json and node_modules directory.
    at requireWithFriendlyError (/var/task/node_modules/rollup/dist/native.js:115:9)
    at Object.<anonymous> (/var/task/node_modules/rollup/dist/native.js:124:76)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1451)
    at O.l._compile (/opt/rust/bytecode.js:2:3854)
    at Object..js (node:internal/modules/cjs/loader:1943:10)
    at Module.load (node:internal/modules/cjs/loader:1533:32)
    at Module.<anonymous> (node:internal/modules/cjs/loader:1335:12)
    at /opt/rust/nodejs.js:2:13533
    at Module.Un (/opt/rust/nodejs.js:2:13911)
    at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503) {
  [cause]: Error: Cannot find module '@rollup/rollup-linux-x64-gnu'
  Require stack:
  - /var/task/node_modules/rollup/dist/native.js
      at Module._resolveFilename (node:internal/modules/cjs/loader:1456:15)
      at defaultResolveImpl (node:internal/modules/cjs/loader:1066:19)
      at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1071:22)
      at Module.<anonymous> (node:internal/modules/cjs/loader:1242:25)
      at /opt/rust/nodejs.js:2:13533
      at Module.Un (/opt/rust/nodejs.js:2:13911)
      at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503)
      at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)
      at Module.require (node:internal/modules/cjs/loader:1556:12)
      at s (/opt/rust/bytecode.js:2:1110) {
    code: 'MODULE_NOT_FOUND',
    requireStack: [ '/var/task/node_modules/rollup/dist/native.js' ]
  }
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,,,,,
2026-06-06 11:05:54,1780743954704,dealykenya.vercel.app/api/categories,POST,path=categories,500,6r5xj-1780743954704-4b8ab2c31ac3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya-4nu1ah4ng-moses-projects-07e7e7e9.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,618,iad1,-1,2048,,prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,01KTE9RRC8VP451FESX9819T05,,-1,,
2026-06-06 11:05:55,1780743955187,dealykenya.vercel.app/api/categories,POST,path=categories,500,qq7gf-1780743954443-050566f86dc8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,,,,,"Error: Cannot find module @rollup/rollup-linux-x64-gnu. npm has a bug related to optional dependencies (https://github.com/npm/cli/issues/4828). Please try `npm i` again after removing both package-lock.json and node_modules directory.
    at requireWithFriendlyError (/var/task/node_modules/rollup/dist/native.js:115:9)
    at Object.<anonymous> (/var/task/node_modules/rollup/dist/native.js:124:76)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1451)
    at O.l._compile (/opt/rust/bytecode.js:2:3854)
    at Object..js (node:internal/modules/cjs/loader:1943:10)
    at Module.load (node:internal/modules/cjs/loader:1533:32)
    at Module.<anonymous> (node:internal/modules/cjs/loader:1335:12)
    at /opt/rust/nodejs.js:2:13533
    at Module.Un (/opt/rust/nodejs.js:2:13911)
    at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503) {
  [cause]: Error: Cannot find module '@rollup/rollup-linux-x64-gnu'
  Require stack:
  - /var/task/node_modules/rollup/dist/native.js
      at Module._resolveFilename (node:internal/modules/cjs/loader:1456:15)
      at defaultResolveImpl (node:internal/modules/cjs/loader:1066:19)
      at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1071:22)
      at Module.<anonymous> (node:internal/modules/cjs/loader:1242:25)
      at /opt/rust/nodejs.js:2:13533
      at Module.Un (/opt/rust/nodejs.js:2:13911)
      at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503)
      at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)
      at Module.require (node:internal/modules/cjs/loader:1556:12)
      at s (/opt/rust/bytecode.js:2:1110) {
    code: 'MODULE_NOT_FOUND',
    requireStack: [ '/var/task/node_modules/rollup/dist/native.js' ]
  }
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,,,,,
2026-06-06 11:05:54,1780743954443,dealykenya.vercel.app/api/categories,POST,path=categories,500,qq7gf-1780743954443-050566f86dc8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,607,iad1,-1,2048,,prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,01KTE9RR495J4ZY1ZM3ATBY1CY,,-1,,
2026-06-06 11:05:55,1780743955243,dealykenya.vercel.app/api/categories,POST,path=categories,500,vxnsh-1780743954403-530bc6e61979,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,,,,,"Error: Cannot find module @rollup/rollup-linux-x64-gnu. npm has a bug related to optional dependencies (https://github.com/npm/cli/issues/4828). Please try `npm i` again after removing both package-lock.json and node_modules directory.
    at requireWithFriendlyError (/var/task/node_modules/rollup/dist/native.js:115:9)
    at Object.<anonymous> (/var/task/node_modules/rollup/dist/native.js:124:76)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1451)
    at O.l._compile (/opt/rust/bytecode.js:2:3854)
    at Object..js (node:internal/modules/cjs/loader:1943:10)
    at Module.load (node:internal/modules/cjs/loader:1533:32)
    at Module.<anonymous> (node:internal/modules/cjs/loader:1335:12)
    at /opt/rust/nodejs.js:2:13533
    at Module.Un (/opt/rust/nodejs.js:2:13911)
    at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503) {
  [cause]: Error: Cannot find module '@rollup/rollup-linux-x64-gnu'
  Require stack:
  - /var/task/node_modules/rollup/dist/native.js
      at Module._resolveFilename (node:internal/modules/cjs/loader:1456:15)
      at defaultResolveImpl (node:internal/modules/cjs/loader:1066:19)
      at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1071:22)
      at Module.<anonymous> (node:internal/modules/cjs/loader:1242:25)
      at /opt/rust/nodejs.js:2:13533
      at Module.Un (/opt/rust/nodejs.js:2:13911)
      at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503)
      at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)
      at Module.require (node:internal/modules/cjs/loader:1556:12)
      at s (/opt/rust/bytecode.js:2:1110) {
    code: 'MODULE_NOT_FOUND',
    requireStack: [ '/var/task/node_modules/rollup/dist/native.js' ]
  }
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,,,,,
2026-06-06 11:05:54,1780743954403,dealykenya.vercel.app/api/categories,POST,path=categories,500,vxnsh-1780743954403-530bc6e61979,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,698,iad1,-1,2048,,prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,01KTE9RR2X8D15ZVGC2XGQVTZE,,-1,,
2026-06-06 11:05:54,1780743954946,dealykenya.vercel.app/api/categories,POST,path=categories,500,g6g6q-1780743954164-8f6ea01d35a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya-4nu1ah4ng-moses-projects-07e7e7e9.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,,,,,"Error: Cannot find module @rollup/rollup-linux-x64-gnu. npm has a bug related to optional dependencies (https://github.com/npm/cli/issues/4828). Please try `npm i` again after removing both package-lock.json and node_modules directory.
    at requireWithFriendlyError (/var/task/node_modules/rollup/dist/native.js:115:9)
    at Object.<anonymous> (/var/task/node_modules/rollup/dist/native.js:124:76)
    at Module.<anonymous> (/opt/rust/bytecode.js:2:1451)
    at O.l._compile (/opt/rust/bytecode.js:2:3854)
    at Object..js (node:internal/modules/cjs/loader:1943:10)
    at Module.load (node:internal/modules/cjs/loader:1533:32)
    at Module.<anonymous> (node:internal/modules/cjs/loader:1335:12)
    at /opt/rust/nodejs.js:2:13533
    at Module.Un (/opt/rust/nodejs.js:2:13911)
    at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503) {
  [cause]: Error: Cannot find module '@rollup/rollup-linux-x64-gnu'
  Require stack:
  - /var/task/node_modules/rollup/dist/native.js
      at Module._resolveFilename (node:internal/modules/cjs/loader:1456:15)
      at defaultResolveImpl (node:internal/modules/cjs/loader:1066:19)
      at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1071:22)
      at Module.<anonymous> (node:internal/modules/cjs/loader:1242:25)
      at /opt/rust/nodejs.js:2:13533
      at Module.Un (/opt/rust/nodejs.js:2:13911)
      at e.<computed>.rt._load (/opt/rust/nodejs.js:2:13503)
      at wrapModuleLoad (node:internal/modules/cjs/loader:255:19)
      at Module.require (node:internal/modules/cjs/loader:1556:12)
      at s (/opt/rust/bytecode.js:2:1110) {
    code: 'MODULE_NOT_FOUND',
    requireStack: [ '/var/task/node_modules/rollup/dist/native.js' ]
  }
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,,,,,
2026-06-06 11:05:54,1780743954164,dealykenya.vercel.app/api/categories,POST,path=categories,500,g6g6q-1780743954164-8f6ea01d35a2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,dealykenya.vercel.app,dealykenya-4nu1ah4ng-moses-projects-07e7e7e9.vercel.app,dpl_D1p6YfYfbDkvz5JLU7o97fHEVJa7,645,iad1,-1,2048,,prj_sC81I25bgtOVXWnBF4AqMGdvbsPw,,,01KTE9RQVEJYC7K22SSRY0SZA0,,-1,,
